#will print SFR density
#redshift LBG/Gyr SFRD_tot[Msun/yr/Mpc^3] SFRD_disk[Msun/yr/Mpc^3] SFRD_bulges[Msun/yr/Mpc^3]
1.9397498 10.428355 -1.3700835376276448 -1.4791332488402742 -2.023627868058402
1.8928154 10.348059 -1.3549336865153134 -1.4706947200144946 -1.9857512102715682
1.8466266 10.265959 -1.3150573666475143 -1.4697074976823485 -1.8385242813107714
1.8011754 10.18203 -1.3293258642804162 -1.4690327331697364 -1.8898748846403752
1.7564535 10.096246 -1.3647797950353497 -1.4614193004032385 -2.0648335179894985
1.7124455 10.008568 -1.3543898838452264 -1.451654855876732 -2.051942946156371
1.6691437 9.91897 -1.2965024960745632 -1.4503934701399348 -1.8217494012693474
1.6265264 9.827398 -1.309312093606156 -1.4554432276920504 -1.8533723920339993
1.5845938 9.733843 -1.2239576573900874 -1.4804539068607196 -1.574615328241725
1.543332 9.6382675 -1.355038237758323 -1.4859909779382146 -1.9395403169165346
1.5027217 9.540618 -1.3891008196623007 -1.493780849766912 -2.058310502453897
1.462769 9.440903 -1.3773850453711887 -1.5046895432462424 -1.9724241068466934
1.4234493 9.339054 -1.3590650941840297 -1.52081593665435 -1.8663710329050711
1.3847567 9.235052 -1.4072051336088662 -1.5335951551199698 -2.0049401439092405
1.3466797 9.128863 -1.4504075554938052 -1.5413954308178048 -2.1739082948307806
1.3092128 9.020466 -1.4420585208643442 -1.5492012637724646 -2.102350639654865
1.2723451 8.909832 -1.469097507013425 -1.5560061449482172 -2.210548782007276
1.236066 8.796925 -1.449850155426247 -1.569350706672782 -2.068645622341044
1.2003701 8.68173 -1.398061441316889 -1.5851396940551967 -1.8540089799745476
1.165238 8.564188 -1.4384835932417808 -1.5988616783509146 -1.9488470095269923
1.1306697 8.444302 -1.4659376879323855 -1.6133753487798128 -2.0067488436254366
1.0966514 8.32203 -1.522393682735079 -1.6198053190657826 -2.219362967683525
