#SMF all galaxies from z=0, 10
#log10(Mstar/Msun) phi phi_err redshift
#SMF all galaxies from z=0, 10
8.6875 -1.8912391411827512 -1.8860689077166608 2.0
8.8125 -1.9496027565458973 -1.912558488009883 2.0
8.9375 -2.0222886547346497 -2.0101518913743774 2.0
9.0625 -2.1339522407465883 -2.08254714807871 2.0
9.1875 -2.1694729401801656 -2.1454726637763994 2.0
9.3125 -2.3111818870383587 -2.181989497602162 2.0
9.4375 -2.339438646601785 -2.2360086607011462 2.0
9.5625 -2.3322002376778657 -2.385601830309106 2.0
9.6875 -2.4149856079943155 -2.3735929228360906 2.0
9.8125 -2.5284948828218337 -2.5637272592752405 2.0
9.9375 -2.557653111563047 -2.5761365172570603 2.0
10.0625 -2.651557614431378 -2.6591107523218245 2.0
10.1875 -2.651557614431378 -2.6989822643595165 2.0
10.3125 -2.983621843835328 -2.724789527965802 2.0
10.4375 -2.8467838839273205 -2.87091756364404 2.0
10.5625 -3.0927663132603964 -3.017045599322278 2.0
10.6875 -3.1597131028910095 -3.2688575723160778 2.0
10.8125 -3.636834357610672 -3.335804361946691 2.0
10.9375 -3.8129256166663534 -3.335804361946691 2.0
11.0625 0.0 -3.9378643532746533 2.0
11.1875 -4.113955612330335 -3.7160156036582968 2.0
11.3125 0.0 -4.414985607994316 2.0
11.4375 0.0 0.0 2.0
11.5625 0.0 0.0 2.0
11.6875 0.0 0.0 2.0
11.8125 0.0 -4.414985607994316 2.0
11.9375 0.0 0.0 2.0
12.0625 0.0 0.0 2.0
12.1875 0.0 0.0 2.0
12.3125 0.0 0.0 2.0
12.4375 0.0 0.0 2.0
12.5625 0.0 0.0 2.0
12.6875 0.0 0.0 2.0
12.8125 0.0 0.0 2.0
12.9375 0.0 0.0 2.0
13.0625 0.0 0.0 2.0
13.1875 0.0 0.0 2.0
13.3125 0.0 0.0 2.0
13.4375 0.0 0.0 2.0
13.5625 0.0 0.0 2.0
13.6875 0.0 0.0 2.0
13.8125 0.0 0.0 2.0
13.9375 0.0 0.0 2.0
14.0625 0.0 0.0 2.0
14.1875 0.0 0.0 2.0
14.3125 0.0 0.0 2.0
14.4375 0.0 0.0 2.0
14.5625 0.0 0.0 2.0
14.6875 0.0 0.0 2.0
14.8125 0.0 0.0 2.0
14.9375 0.0 0.0 2.0
5.0625 -0.5625666150573143 -0.5918375481836217 3.0
5.1875 -0.5354883207448871 -0.5611049578697733 3.0
5.3125 -0.5246763910943671 -0.5645844599971572 3.0
5.4375 -0.5272558107062852 -0.5622616972031096 3.0
5.5625 -0.5376142621245416 -0.5715036649543579 3.0
5.6875 -0.5501779789681686 -0.5760106530388476 3.0
5.8125 -0.5964298286965131 -0.5969577661350594 3.0
5.9375 -0.6210556012216311 -0.6332302333418467 3.0
6.0625 -0.6684292465839464 -0.6590345669901837 3.0
