#redshift LBG/Gyr SFRD_tot[Msun/yr/Mpc^3] SFRD_disk[Msun/yr/Mpc^3] SFRD_bulges[Msun/yr/Mpc^3]
1.31332 9.032545 -1.5062715556830246 -1.6450656627644524 -2.0692352742625424
1.2915 8.967817 -1.513938102143117 -1.653121002077431 -2.0758710122105937
1.26988 8.902288 -1.5247842974273136 -1.660785017176681 -2.0952546653901933
1.24847 8.83599 -1.5343633802739782 -1.6680934397457605 -2.1110692536122166
1.22727 8.768925 -1.5443825891350813 -1.675312056252435 -2.128950805763727
1.20626 8.701026 -1.5461769838144035 -1.6828004847287603 -2.1149582767027284
1.18545 8.632329 -1.5551480734396292 -1.6898800114851773 -2.129087602974191
1.16483 8.562799 -1.5643099645603464 -1.6971613385328876 -2.1434619207189303
1.14442 8.492506 -1.5739603152677353 -1.7044702520368142 -2.159723094895924
1.12419 8.421347 -1.584476456852271 -1.7110720568700502 -2.181603449950579
1.10416 8.349394 -1.5867732733637345 -1.7185492110049212 -2.1689447082900206
1.08431 8.276577 -1.5956389141674179 -1.7255180149738216 -2.183206317851213
1.06465 8.202934 -1.5990677797894148 -1.7331783376744987 -2.1747202087733335
1.04518 8.128464 -1.6066860827261937 -1.7405088392575885 -2.1831349952277006
1.02589 8.053135 -1.6186730333932433 -1.7474065479827219 -2.2095436728467495
1.00678 7.9769487 -1.6246793008466334 -1.7545097047971108 -2.2123864325282043
0.987854 7.8999195 -1.6319217549320162 -1.7616220770592432 -2.2200024335214565
0.969105 7.8220243 -1.6396063031386174 -1.7691764495151714 -2.228061232451607
0.950531 7.7432585 -1.6458744162880017 -1.776502159888558 -2.2313013063908995
0.932136 7.6636405 -1.6548253910378437 -1.7838355319446126 -2.244895289830286
0.913912 7.583141 -1.664750720971601 -1.7911455895427069 -2.262471382531295
0.89586 7.5017653 -1.6698852746572885 -1.7984655873791866 -2.2612002382730325
0.877977 7.419506 -1.6781998406162917 -1.8053300606466816 -2.2737509609576665
0.860264 7.3363695 -1.6867341336084956 -1.8123437016442114 -2.286787825520519
0.84272 7.2523584 -1.6940849718628 -1.8195569118098438 -2.294549269787999
0.825337 7.1674366 -1.7029399481842526 -1.8261621541797892 -2.31019061776803
0.808122 7.0816455 -1.7077085398036411 -1.83301968356059 -2.3086532218934264
0.791068 6.994955 -1.7097149671959568 -1.8399362577557985 -2.296302217478725
0.774176 6.9073734 -1.7241513088173355 -1.846550701952017 -2.3339196508901594
0.757441 6.8188844 -1.7306894621016864 -1.8527323844290453 -2.3415545839682284
0.740865 6.729501 -1.7354704169082122 -1.8597869009707306 -2.3394025331656225
