#frequency ebl ebl1 ebl2 type
6.37855319149e+14 8e-08 2.15e-08 2.15e-08 1.0
5.45076363636e+14 8.17e-08 2.45e-08 2.45e-08 1.0
4.61218461538e+14 8.56e-08 2.51e-08 2.51e-08 1.0
5.11725055634e+15 1.412510692e-08 1.412510692e-08 0.0 1.0
1.09024738577e+16 2.32162471001e-09 2.32162471001e-09 0.0 1.0
2.41799437676e+16 6.20792698449e-11 2.71695309735e-11 1.93149676591e-11 1.0
3.37912395996e+16 7.05261468389e-11 2.19318333397e-11 2.51278448804e-11 1.0
2.09896383475e+15 7.94577110976e-09 5.95932833232e-09 5.95932833232e-09 1.0
1.32555337686e+15 1.19186566646e-08 5.95932833232e-09 5.95932833232e-09 1.0
1.83814268863e+15 5.56203977683e-09 6.95254972104e-10 6.95254972104e-10 1.0
1.49896e+15 1.98644277744e-09 1.98644277744e-10 1.98644277744e-10 0.0
3.07580102128e+16 3.39681714942e-11 3.37695272165e-12 3.37695272165e-12 1.0
1.24913333333e+16 7.21078728211e-11 7.21078728211e-11 0.0 1.0
1.76348235294e+16 5.95932833232e-11 5.95932833232e-11 0.0 1.0
3.00311989924e+15 6.15797261006e-09 6.15797261006e-09 0.0 1.0
2.87598084029e+15 8.74034822074e-09 8.74034822074e-09 0.0 1.0
2.9931348094e+15 1.98644277744e-09 5.95932833232e-10 0.0 1.0
4.04239450335e+15 6.35661688781e-09 2.4830534718e-09 0.0 1.0
1.87957366771e+15 2.9e-09 6e-10 9e-10 0.0
1.26761945032e+15 3.6e-09 5e-10 7e-10 0.0
1.87957366771e+15 9.95207831497e-09 2.04603606076e-09 2.04603606076e-09 1.0
1.9594248366e+15 1.03e-09 1.5e-10 1.5e-10 0.0
1.2978008658e+15 2.25e-09 3.2e-10 3.2e-10 0.0
1.9594248366e+15 6.06421251097e-09 5.95932833232e-09 5.95932833232e-09 1.0
1.2978008658e+15 7.66031928264e-09 5.95932833232e-09 5.95932833232e-09 1.0
8.82567947516e+16 2.7875688948e-11 2.87511201e-12 2.87511201e-12 2.0
9.43017806935e+16 2.556999171e-11 2.656734876e-12 2.656734876e-12 2.0
1.05182755389e+17 2.1714986412e-11 2.236162626e-12 2.236162626e-12 2.0
1.18481724461e+17 2.9529459144e-11 3.558281562e-12 3.558281562e-12 2.0
1.29362699157e+17 3.6521212446e-11 4.701436992e-12 4.701436992e-12 2.0
1.36616682287e+17 3.916849446e-11 3.597374754e-12 3.597374754e-12 2.0
1.4145267104e+17 2.9266701624e-11 3.068014482e-12 3.068014482e-12 2.0
1.46288659794e+17 3.0468817278e-11 3.077307126e-12 3.077307126e-12 2.0
1.49915651359e+17 3.937597677e-11 4.86021303e-12 4.86021303e-12 2.0
1.53542642924e+17 3.2800469832e-11 3.117521844e-12 3.117521844e-12 2.0
1.58378631678e+17 3.2240347704e-11 3.031965432e-12 3.031965432e-12 2.0
1.63214620431e+17 2.6551967832e-11 2.724186654e-12 2.724186654e-12 2.0
1.68050609185e+17 3.2634163548e-11 2.976530004e-12 2.976530004e-12 2.0
1.72886597938e+17 2.5474501782e-11 2.619884736e-12 2.619884736e-12 2.0
1.77722586692e+17 2.9090141388e-11 2.772412272e-12 2.772412272e-12 2.0
1.82558575445e+17 2.0846604852e-11 2.345751738e-12 2.345751738e-12 2.0
1.87394564199e+17 2.4784282638e-11 2.544582276e-12 2.544582276e-12 2.0
1.92230552952e+17 2.0333426598e-11 2.305857456e-12 2.305857456e-12 2.0
1.97066541706e+17 2.4468813396e-11 2.523753936e-12 2.523753936e-12 2.0
2.01902530459e+17 2.0510467488e-11 2.321719038e-12 2.321719038e-12 2.0
2.07947516401e+17 1.782104814e-11 1.767524976e-12 1.767524976e-12 2.0
2.13992502343e+17 1.9579600908e-11 2.275255818e-12 2.275255818e-12 2.0
2.18828491097e+17 1.9446940404e-11 2.289995874e-12 2.289995874e-12 2.0
2.2366447985e+17 1.7715945132e-11 2.1949866e-12 2.1949866e-12 2.0
2.28500468604e+17 2.2368515634e-11 2.482898346e-12 2.482898346e-12 2.0
2.33336457357e+17 1.821117897e-11 2.272051458e-12 2.272051458e-12 2.0
2.39381443299e+17 1.7797496094e-11 1.863815994e-12 1.863815994e-12 2.0
2.47844423618e+17 1.5785959104e-11 1.55571678e-12 1.55571678e-12 2.0
2.56307403936e+17 1.7022040974e-11 1.922455782e-12 1.922455782e-12 2.0
2.63561387067e+17 1.8363866724e-11 2.050469964e-12 2.050469964e-12 2.0
2.72024367385e+17 1.8515112516e-11 1.837059588e-12 1.837059588e-12 2.0
2.81696344892e+17 1.8004017096e-11 1.886727168e-12 1.886727168e-12 2.0
2.91368322399e+17 1.7876964222e-11 1.940079762e-12 1.940079762e-12 2.0
2.99831302718e+17 2.0332625508e-11 2.476329408e-12 2.476329408e-12 2.0
3.09503280225e+17 1.665546219e-11 1.813827978e-12 1.813827978e-12 2.0
3.2038425492e+17 1.750301541e-11 2.173196952e-12 2.173196952e-12 2.0
3.30056232427e+17 2.0317565016e-11 2.455020414e-12 2.455020414e-12 2.0
3.39728209934e+17 2.4544115856e-11 2.812787208e-12 2.812787208e-12 2.0
3.51818181818e+17 2.0288084904e-11 2.229113034e-12 2.229113034e-12 2.0
3.66326148079e+17 2.2518159246e-11 2.53384767e-12 2.53384767e-12 2.0
3.82043111528e+17 2.161420929e-11 2.507251482e-12 2.507251482e-12 2.0
4.0259606373e+17 1.938557691e-11 2.247698322e-12 2.247698322e-12 2.0
4.26776007498e+17 2.8182826854e-11 3.103743096e-12 3.103743096e-12 2.0
4.61836925961e+17 1.9846844532e-11 2.4913899e-12 2.4913899e-12 2.0
1.88119962512e+17 2.1849088878e-11 2.195467254e-12 2.195467254e-12 2.0
2.16628116214e+17 2.0803986864e-11 1.967637258e-12 1.967637258e-12 2.0
2.33723336457e+17 2.3614370802e-11 2.394137574e-12 2.394137574e-12 2.0
2.45136269916e+17 1.8273183336e-11 2.174478696e-12 2.174478696e-12 2.0
2.56549203374e+17 1.7312195772e-11 2.014260696e-12 2.014260696e-12 2.0
2.67937956888e+17 2.1980948292e-11 2.093087952e-12 2.093087952e-12 2.0
2.79350890347e+17 1.8435003516e-11 2.020028544e-12 2.020028544e-12 2.0
2.90739643861e+17 2.154050901e-11 2.018105928e-12 2.018105928e-12 2.0
3.0215257732e+17 2.1230326962e-11 2.051271054e-12 2.051271054e-12 2.0
3.13541330834e+17 2.1605237082e-11 1.92582036e-12 1.92582036e-12 2.0
3.24954264292e+17 2.1989760282e-11 1.923256872e-12 1.923256872e-12 2.0
3.36343017807e+17 2.026437264e-11 1.945206738e-12 1.945206738e-12 2.0
3.47755951265e+17 2.088201303e-11 1.9386378e-12 1.9386378e-12 2.0
3.5914470478e+17 2.4925434696e-11 2.117761524e-12 2.117761524e-12 2.0
3.70557638238e+17 2.1898275804e-11 2.02115007e-12 2.02115007e-12 2.0
3.81946391753e+17 2.4151421538e-11 2.191141368e-12 2.191141368e-12 2.0
3.93359325211e+17 2.2978305342e-11 2.061685224e-12 2.061685224e-12 2.0
4.04772258669e+17 2.0809754712e-11 2.103181686e-12 2.103181686e-12 2.0
4.16161012184e+17 2.4925594914e-11 2.337099966e-12 2.337099966e-12 2.0
4.27573945642e+17 2.45213649e-11 2.320437294e-12 2.320437294e-12 2.0
4.38962699157e+17 2.5901002098e-11 2.427462918e-12 2.427462918e-12 2.0
4.50375632615e+17 2.8169368542e-11 2.524875462e-12 2.524875462e-12 2.0
4.61764386129e+17 2.6901723726e-11 2.54826729e-12 2.54826729e-12 2.0
4.73177319588e+17 2.6679020706e-11 2.653530516e-12 2.653530516e-12 2.0
4.84566073102e+17 3.0312925164e-11 2.70207657e-12 2.70207657e-12 2.0
